country,continent,year,intUsagebypop,population,cybersecurityScore
United States,America,2015,74.5542,320635163,0.706
United States,America,2016,85.5444,322941311,0.811
United States,America,2017,87.2661,324985539,0.918
Uzbekistan,Asia,2000,0.4843,24650400,0
Uzbekistan,Asia,2005,3.3435,26167000,0.103
Uzbekistan,Asia,2010,15.9,28562400,0.141
Uzbekistan,Asia,2015,42.8,31298900,0.1598
Uzbekistan,Asia,2016,46.7913,31847900,0.194
Uzbekistan,Asia,2017,52.3051,32388600,0.277
Uzbekistan,Asia,2018,55.2,32956100,0.666
Viet Nam,Asia,2000,0.2542,79910412,0
Viet Nam,Asia,2005,12.7399,83832661,0.2
Viet Nam,Asia,2010,30.65,87967651,0.354
Viet Nam,Asia,2015,45,92677076,0.394
Viet Nam,Asia,2016,53,93638724,4.094
Viet Nam,Asia,2017,58.14,94596642,5.03
Viet Nam,Asia,2018,70.3496,95540395,0.693
Yemen,Asia,2000,0.0825,17409072,0
Yemen,Asia,2005,1.0486,20107409,0.021
Yemen,Asia,2010,12.35,23154855,0.037
Yemen,Asia,2015,24.0854,26497889,0.04
Yemen,Asia,2016,24.5792,27168210,0.059
Yemen,Asia,2017,26.7184,27834821,0.007
Zimbabwe,Africa,2000,0.4014,11881477,0
Zimbabwe,Africa,2005,2.4,12076699,0.11
Zimbabwe,Africa,2010,6.4,12697723,0.1321
Zimbabwe,Africa,2015,22.7428,13814629,0.159
Zimbabwe,Africa,2016,23.12,14030390,0.723
Zimbabwe,Africa,2017,27.0555,14236745,0.192
